Stellar Sequence
Central Pressure Range = 4.0 to 1500.0 MeVfm^3
Number of Stars = 1250
h = 5 meters
r0 = 10.0 meters
      P_MeV/fm3             R_km         M_M_solar     Energy Density
 2.42353883e+02   1.10500000e+01    1.88751761e+00    7.98189395e+02
 2.43551641e+02   1.10450000e+01    1.88956685e+00    7.99708251e+02
 2.44749400e+02   1.10450000e+01    1.89159951e+00    8.01224159e+02
 2.45947158e+02   1.10400000e+01    1.89361597e+00    8.02737260e+02
 2.47144916e+02   1.10400000e+01    1.89561638e+00    8.04247582e+02
 2.48342674e+02   1.10350000e+01    1.89760099e+00    8.05755105e+02
 2.49540432e+02   1.10350000e+01    1.89956979e+00    8.07259811e+02
 2.50738191e+02   1.10300000e+01    1.90152289e+00    8.08761681e+02
 2.51935949e+02   1.10300000e+01    1.90346064e+00    8.10260696e+02
 2.53133707e+02   1.10250000e+01    1.90538316e+00    8.11756837e+02
 2.54331465e+02   1.10250000e+01    1.90729068e+00    8.13250085e+02
 2.55529223e+02   1.10200000e+01    1.90918306e+00    8.14740421e+02
 2.56726982e+02   1.10200000e+01    1.91106066e+00    8.16227826e+02
 2.57924740e+02   1.10150000e+01    1.91292365e+00    8.17712282e+02
 2.59122498e+02   1.10150000e+01    1.91477226e+00    8.19193768e+02
 2.60320256e+02   1.10100000e+01    1.91660641e+00    8.20672266e+02
 2.61518014e+02   1.10100000e+01    1.91842627e+00    8.22147755e+02
 2.62715773e+02   1.10050000e+01    1.92023215e+00    8.23620218e+02
 2.63913531e+02   1.10050000e+01    1.92202419e+00    8.25089633e+02
 2.65111289e+02   1.10000000e+01    1.92380244e+00    8.26555983e+02
 2.66309047e+02   1.10000000e+01    1.92556689e+00    8.28019247e+02
 2.67506805e+02   1.09950000e+01    1.92731793e+00    8.29479406e+02
 2.68704564e+02   1.09950000e+01    1.92905567e+00    8.30936440e+02
 2.69902322e+02   1.09900000e+01    1.93078023e+00    8.32390335e+02
 2.71100080e+02   1.09900000e+01    1.93249149e+00    8.33841137e+02
 2.72297838e+02   1.09850000e+01    1.93418987e+00    8.35288942e+02
 2.73495596e+02   1.09850000e+01    1.93587548e+00    8.36733842e+02
 2.74693355e+02   1.09800000e+01    1.93754845e+00    8.38175935e+02
 2.75891113e+02   1.09800000e+01    1.93920862e+00    8.39615315e+02
 2.77088871e+02   1.09750000e+01    1.94085642e+00    8.41052076e+02
 2.78286629e+02   1.09750000e+01    1.94249194e+00    8.42486316e+02
 2.79484388e+02   1.09700000e+01    1.94411530e+00    8.43918128e+02
 2.80682146e+02   1.09700000e+01    1.94572635e+00    8.45347607e+02
 2.81879904e+02   1.09650000e+01    1.94732550e+00    8.46774850e+02
 2.83077662e+02   1.09650000e+01    1.94891286e+00    8.48199935e+02
 2.84275420e+02   1.09600000e+01    1.95048847e+00    8.49622814e+02
 2.85473179e+02   1.09600000e+01    1.95205224e+00    8.51043376e+02
 2.86670937e+02   1.09550000e+01    1.95360457e+00    8.52461509e+02
 2.87868695e+02   1.09550000e+01    1.95514556e+00    8.53877104e+02
 2.89066453e+02   1.09500000e+01    1.95667518e+00    8.55290048e+02
 2.90264211e+02   1.09500000e+01    1.95819345e+00    8.56700230e+02
 2.91461970e+02   1.09450000e+01    1.95970070e+00    8.58107539e+02
 2.92659728e+02   1.09450000e+01    1.96119708e+00    8.59511863e+02
 2.93857486e+02   1.09450000e+01    1.96268240e+00    8.60913093e+02
 2.95055244e+02   1.09400000e+01    1.96415691e+00    8.62311115e+02
 2.96253002e+02   1.09400000e+01    1.96562079e+00    8.63705824e+02
 2.97450761e+02   1.09350000e+01    1.96707423e+00    8.65097238e+02
 2.98648519e+02   1.09350000e+01    1.96851695e+00    8.66485520e+02
 2.99846277e+02   1.09300000e+01    1.96994936e+00    8.67870842e+02
 3.01044035e+02   1.09300000e+01    1.97137156e+00    8.69253375e+02
 3.02241793e+02   1.09250000e+01    1.97278363e+00    8.70633291e+02
 3.03439552e+02   1.09250000e+01    1.97418540e+00    8.72010761e+02
 3.04637310e+02   1.09200000e+01    1.97557727e+00    8.73385957e+02
 3.05835068e+02   1.09200000e+01    1.97695936e+00    8.74759050e+02
 3.07032826e+02   1.09150000e+01    1.97833151e+00    8.76130211e+02
 3.08230584e+02   1.09150000e+01    1.97969388e+00    8.77499612e+02
 3.09428343e+02   1.09100000e+01    1.98104666e+00    8.78867424e+02
 3.10626101e+02   1.09100000e+01    1.98239004e+00    8.80233813e+02
 3.11823859e+02   1.09050000e+01    1.98372369e+00    8.81598799e+02
 3.13021617e+02   1.09050000e+01    1.98504802e+00    8.82962270e+02
 3.14219376e+02   1.09000000e+01    1.98636312e+00    8.84324109e+02
 3.15417134e+02   1.09000000e+01    1.98766900e+00    8.85684199e+02
 3.16614892e+02   1.09000000e+01    1.98896556e+00    8.87042420e+02
 3.17812650e+02   1.08950000e+01    1.99025313e+00    8.88398657e+02
 3.19010408e+02   1.08950000e+01    1.99153187e+00    8.89752791e+02
 3.20208167e+02   1.08900000e+01    1.99280147e+00    8.91104705e+02
 3.21405925e+02   1.08900000e+01    1.99406227e+00    8.92454280e+02
 3.22603683e+02   1.08850000e+01    1.99531439e+00    8.93801400e+02
 3.23801441e+02   1.08850000e+01    1.99655790e+00    8.95145947e+02
 3.24999199e+02   1.08800000e+01    1.99779260e+00    8.96487803e+02
 3.26196958e+02   1.08800000e+01    1.99901887e+00    8.97826910e+02
 3.27394716e+02   1.08750000e+01    2.00023684e+00    8.99163387e+02
 3.28592474e+02   1.08750000e+01    2.00144624e+00    9.00497387e+02
 3.29790232e+02   1.08700000e+01    2.00264736e+00    9.01829060e+02
 3.30987990e+02   1.08700000e+01    2.00384032e+00    9.03158559e+02
 3.32185749e+02   1.08700000e+01    2.00502522e+00    9.04486038e+02
 3.33383507e+02   1.08650000e+01    2.00620181e+00    9.05811646e+02
 3.34581265e+02   1.08650000e+01    2.00737048e+00    9.07135538e+02
 3.35779023e+02   1.08600000e+01    2.00853135e+00    9.08457864e+02
 3.36976781e+02   1.08600000e+01    2.00968414e+00    9.09778778e+02
 3.38174540e+02   1.08550000e+01    2.01082914e+00    9.11098431e+02
 3.39372298e+02   1.08550000e+01    2.01196645e+00    9.12416975e+02
 3.40570056e+02   1.08500000e+01    2.01309615e+00    9.13734562e+02
 3.41767814e+02   1.08500000e+01    2.01421801e+00    9.15051293e+02
 3.42965572e+02   1.08450000e+01    2.01533238e+00    9.16367076e+02
 3.44163331e+02   1.08450000e+01    2.01643941e+00    9.17681779e+02
 3.45361089e+02   1.08450000e+01    2.01753877e+00    9.18995271e+02
 3.46558847e+02   1.08400000e+01    2.01863078e+00    9.20307419e+02
 3.47756605e+02   1.08400000e+01    2.01971555e+00    9.21618090e+02
 3.48954363e+02   1.08350000e+01    2.02079307e+00    9.22927152e+02
 3.50152122e+02   1.08350000e+01    2.02186322e+00    9.24234473e+02
 3.51349880e+02   1.08300000e+01    2.02292629e+00    9.25539920e+02
 3.52547638e+02   1.08300000e+01    2.02398243e+00    9.26843362e+02
 3.53745396e+02   1.08250000e+01    2.02503129e+00    9.28144665e+02
 3.54943155e+02   1.08250000e+01    2.02607325e+00    9.29443698e+02
 3.56140913e+02   1.08250000e+01    2.02710839e+00    9.30740328e+02
 3.57338671e+02   1.08200000e+01    2.02813663e+00    9.32034427e+02
 3.58536429e+02   1.08200000e+01    2.02915796e+00    9.33325978e+02
 3.59734187e+02   1.08150000e+01    2.03017262e+00    9.34615088e+02
 3.60931946e+02   1.08150000e+01    2.03118074e+00    9.35901869e+02
 3.62129704e+02   1.08100000e+01    2.03218198e+00    9.37186433e+02
 3.63327462e+02   1.08100000e+01    2.03317673e+00    9.38468891e+02
 3.64525220e+02   1.08050000e+01    2.03416510e+00    9.39749357e+02
 3.65722978e+02   1.08050000e+01    2.03514684e+00    9.41027941e+02
 3.66920737e+02   1.08050000e+01    2.03612216e+00    9.42304757e+02
 3.68118495e+02   1.08000000e+01    2.03709118e+00    9.43579916e+02
 3.69316253e+02   1.08000000e+01    2.03805398e+00    9.44853530e+02
 3.70514011e+02   1.07950000e+01    2.03901031e+00    9.46125712e+02
 3.71711769e+02   1.07950000e+01    2.03996049e+00    9.47396574e+02
 3.72909528e+02   1.07900000e+01    2.04090469e+00    9.48666227e+02
 3.74107286e+02   1.07900000e+01    2.04184252e+00    9.49934784e+02
 3.75305044e+02   1.07900000e+01    2.04277435e+00    9.51202319e+02
 3.76502802e+02   1.07850000e+01    2.04370025e+00    9.52468820e+02
 3.77700560e+02   1.07850000e+01    2.04462013e+00    9.53734256e+02
 3.78898319e+02   1.07800000e+01    2.04553398e+00    9.54998602e+02
 3.80096077e+02   1.07800000e+01    2.04644199e+00    9.56261828e+02
 3.81293835e+02   1.07750000e+01    2.04734431e+00    9.57523906e+02
 3.82491593e+02   1.07750000e+01    2.04824058e+00    9.58784809e+02
 3.83689351e+02   1.07700000e+01    2.04913118e+00    9.60044508e+02
 3.84887110e+02   1.07700000e+01    2.05001621e+00    9.61302976e+02
 3.86084868e+02   1.07700000e+01    2.05089540e+00    9.62560184e+02
 3.87282626e+02   1.07650000e+01    2.05176897e+00    9.63816105e+02
 3.88480384e+02   1.07650000e+01    2.05263701e+00    9.65070710e+02
 3.89678143e+02   1.07600000e+01    2.05349959e+00    9.66323971e+02
 3.90875901e+02   1.07600000e+01    2.05435648e+00    9.67575861e+02
 3.92073659e+02   1.07600000e+01    2.05520798e+00    9.68826352e+02
 3.93271417e+02   1.07550000e+01    2.05605423e+00    9.70075419e+02
 3.94469175e+02   1.07550000e+01    2.05689486e+00    9.71323047e+02
 3.95666934e+02   1.07500000e+01    2.05773022e+00    9.72569222e+02
 3.96864692e+02   1.07500000e+01    2.05856039e+00    9.73813927e+02
 3.98062450e+02   1.07450000e+01    2.05938524e+00    9.75057149e+02
 3.99260208e+02   1.07450000e+01    2.06020480e+00    9.76298872e+02
 4.00457966e+02   1.07450000e+01    2.06101922e+00    9.77539081e+02
 4.01655725e+02   1.07400000e+01    2.06182865e+00    9.78777762e+02
 4.02853483e+02   1.07400000e+01    2.06263275e+00    9.80014899e+02
 4.04051241e+02   1.07350000e+01    2.06343186e+00    9.81250477e+02
 4.05248999e+02   1.07350000e+01    2.06422611e+00    9.82484482e+02
 4.06446757e+02   1.07300000e+01    2.06501516e+00    9.83716898e+02
 4.07644516e+02   1.07300000e+01    2.06579931e+00    9.84947711e+02
 4.08842274e+02   1.07300000e+01    2.06657861e+00    9.86176906e+02
 4.10040032e+02   1.07250000e+01    2.06735307e+00    9.87404467e+02
 4.11237790e+02   1.07250000e+01    2.06812254e+00    9.88630385e+02
 4.12435548e+02   1.07200000e+01    2.06888726e+00    9.89854689e+02
 4.13633307e+02   1.07200000e+01    2.06964740e+00    9.91077436e+02
 4.14831065e+02   1.07200000e+01    2.07040254e+00    9.92298682e+02
 4.16028823e+02   1.07150000e+01    2.07115307e+00    9.93518481e+02
 4.17226581e+02   1.07150000e+01    2.07189907e+00    9.94736889e+02
 4.18424339e+02   1.07100000e+01    2.07264031e+00    9.95953962e+02
 4.19622098e+02   1.07100000e+01    2.07337694e+00    9.97169755e+02
 4.20819856e+02   1.07100000e+01    2.07410904e+00    9.98384323e+02
 4.22017614e+02   1.07050000e+01    2.07483674e+00    9.99597723e+02
 4.23215372e+02   1.07050000e+01    2.07555974e+00    1.00081001e+03
