Stellar Sequence
Central Pressure Range = 1.5 to 450.0 MeVfm^3
Number of Stars = 1250
h = 5 meters
r0 = 10.0 meters
      P_MeV/fm3             R_km         M_M_solar     Energy Density
 9.66581265e+01   1.29650000e+01    1.77199714e+00    5.35566636e+02
 9.70172138e+01   1.29650000e+01    1.77350504e+00    5.36575861e+02
 9.73763010e+01   1.29600000e+01    1.77500389e+00    5.37583958e+02
 9.77353883e+01   1.29600000e+01    1.77649371e+00    5.38590942e+02
 9.80944756e+01   1.29550000e+01    1.77797451e+00    5.39596824e+02
 9.84535629e+01   1.29550000e+01    1.77944660e+00    5.40601618e+02
 9.88126501e+01   1.29500000e+01    1.78090981e+00    5.41605338e+02
 9.91717374e+01   1.29500000e+01    1.78236419e+00    5.42607996e+02
 9.95308247e+01   1.29450000e+01    1.78381009e+00    5.43609606e+02
 9.98899119e+01   1.29450000e+01    1.78524731e+00    5.44610182e+02
 1.00248999e+02   1.29400000e+01    1.78667593e+00    5.45609735e+02
 1.00608086e+02   1.29400000e+01    1.78809620e+00    5.46608277e+02
 1.00967174e+02   1.29400000e+01    1.78950802e+00    5.47605811e+02
 1.01326261e+02   1.29350000e+01    1.79091147e+00    5.48602342e+02
 1.01685348e+02   1.29350000e+01    1.79230670e+00    5.49597874e+02
 1.02044436e+02   1.29300000e+01    1.79369369e+00    5.50592411e+02
 1.02403523e+02   1.29300000e+01    1.79507254e+00    5.51585957e+02
 1.02762610e+02   1.29250000e+01    1.79644329e+00    5.52578517e+02
 1.03121697e+02   1.29250000e+01    1.79780605e+00    5.53570095e+02
 1.03480785e+02   1.29200000e+01    1.79916082e+00    5.54560695e+02
 1.03839872e+02   1.29200000e+01    1.80050765e+00    5.55550321e+02
 1.04198959e+02   1.29150000e+01    1.80184671e+00    5.56538980e+02
 1.04558046e+02   1.29150000e+01    1.80317793e+00    5.57526679e+02
 1.04917134e+02   1.29100000e+01    1.80450137e+00    5.58513425e+02
 1.05276221e+02   1.29100000e+01    1.80581726e+00    5.59499227e+02
 1.05635308e+02   1.29050000e+01    1.80712548e+00    5.60484093e+02
 1.05994396e+02   1.29050000e+01    1.80842605e+00    5.61468031e+02
 1.06353483e+02   1.29000000e+01    1.80971928e+00    5.62451049e+02
 1.06712570e+02   1.29000000e+01    1.81100498e+00    5.63433154e+02
 1.07071657e+02   1.28950000e+01    1.81228320e+00    5.64414355e+02
 1.07430745e+02   1.28950000e+01    1.81355424e+00    5.65394660e+02
 1.07789832e+02   1.28900000e+01    1.81481793e+00    5.66374076e+02
 1.08148919e+02   1.28900000e+01    1.81607428e+00    5.67352615e+02
 1.08508006e+02   1.28850000e+01    1.81732363e+00    5.68330285e+02
 1.08867094e+02   1.28850000e+01    1.81856577e+00    5.69307098e+02
 1.09226181e+02   1.28800000e+01    1.81980073e+00    5.70283063e+02
 1.09585268e+02   1.28800000e+01    1.82102885e+00    5.71258191e+02
 1.09944355e+02   1.28800000e+01    1.82224990e+00    5.72232492e+02
 1.10303443e+02   1.28750000e+01    1.82346393e+00    5.73205977e+02
 1.10662530e+02   1.28750000e+01    1.82467127e+00    5.74178654e+02
 1.11021617e+02   1.28700000e+01    1.82587168e+00    5.75150536e+02
 1.11380705e+02   1.28700000e+01    1.82706524e+00    5.76121631e+02
 1.11739792e+02   1.28650000e+01    1.82825222e+00    5.77091944e+02
 1.12098879e+02   1.28650000e+01    1.82943243e+00    5.78061472e+02
 1.12457966e+02   1.28600000e+01    1.83060594e+00    5.79030210e+02
 1.12817054e+02   1.28600000e+01    1.83177300e+00    5.79998156e+02
 1.13176141e+02   1.28550000e+01    1.83293343e+00    5.80965304e+02
 1.13535228e+02   1.28550000e+01    1.83408731e+00    5.81931652e+02
 1.13894315e+02   1.28500000e+01    1.83523485e+00    5.82897195e+02
 1.14253403e+02   1.28500000e+01    1.83637592e+00    5.83861930e+02
 1.14612490e+02   1.28450000e+01    1.83751058e+00    5.84825852e+02
 1.14971577e+02   1.28450000e+01    1.83863901e+00    5.85788958e+02
 1.15330665e+02   1.28400000e+01    1.83976111e+00    5.86751244e+02
 1.15689752e+02   1.28400000e+01    1.84087697e+00    5.87712711e+02
 1.16048839e+02   1.28400000e+01    1.84198668e+00    5.88673364e+02
 1.16407926e+02   1.28350000e+01    1.84309021e+00    5.89633211e+02
 1.16767014e+02   1.28350000e+01    1.84418764e+00    5.90592258e+02
 1.17126101e+02   1.28300000e+01    1.84527902e+00    5.91550512e+02
 1.17485188e+02   1.28300000e+01    1.84636436e+00    5.92507978e+02
 1.17844275e+02   1.28250000e+01    1.84744375e+00    5.93464664e+02
 1.18203363e+02   1.28250000e+01    1.84851718e+00    5.94420575e+02
 1.18562450e+02   1.28200000e+01    1.84958469e+00    5.95375719e+02
 1.18921537e+02   1.28200000e+01    1.85064641e+00    5.96330101e+02
 1.19280624e+02   1.28150000e+01    1.85170227e+00    5.97283729e+02
 1.19639712e+02   1.28150000e+01    1.85275230e+00    5.98236608e+02
 1.19998799e+02   1.28100000e+01    1.85379669e+00    5.99188742e+02
 1.20357886e+02   1.28100000e+01    1.85483535e+00    6.00140133e+02
 1.20716974e+02   1.28050000e+01    1.85586825e+00    6.01090786e+02
 1.21076061e+02   1.28050000e+01    1.85689567e+00    6.02040704e+02
 1.21435148e+02   1.28000000e+01    1.85791745e+00    6.02989889e+02
 1.21794235e+02   1.28000000e+01    1.85893357e+00    6.03938346e+02
 1.22153323e+02   1.28000000e+01    1.85994437e+00    6.04886078e+02
 1.22512410e+02   1.27950000e+01    1.86094960e+00    6.05833087e+02
 1.22871497e+02   1.27950000e+01    1.86194932e+00    6.06779377e+02
 1.23230584e+02   1.27900000e+01    1.86294379e+00    6.07724952e+02
 1.23589672e+02   1.27900000e+01    1.86393279e+00    6.08669815e+02
 1.23948759e+02   1.27850000e+01    1.86491646e+00    6.09613970e+02
 1.24307846e+02   1.27850000e+01    1.86589489e+00    6.10557419e+02
 1.24666934e+02   1.27800000e+01    1.86686800e+00    6.11500167e+02
 1.25026021e+02   1.27800000e+01    1.86783592e+00    6.12442216e+02
 1.25385108e+02   1.27750000e+01    1.86879863e+00    6.13383572e+02
 1.25744195e+02   1.27750000e+01    1.86975617e+00    6.14324237e+02
 1.26103283e+02   1.27700000e+01    1.87070863e+00    6.15264215e+02
 1.26462370e+02   1.27700000e+01    1.87165598e+00    6.16203509e+02
 1.26821457e+02   1.27650000e+01    1.87259820e+00    6.17142123e+02
 1.27180544e+02   1.27650000e+01    1.87353552e+00    6.18080062e+02
 1.27539632e+02   1.27650000e+01    1.87446779e+00    6.19017328e+02
 1.27898719e+02   1.27600000e+01    1.87539500e+00    6.19953924e+02
 1.28257806e+02   1.27600000e+01    1.87631746e+00    6.20889855e+02
 1.28616894e+02   1.27550000e+01    1.87723493e+00    6.21825124e+02
 1.28975981e+02   1.27550000e+01    1.87814747e+00    6.22759734e+02
 1.29335068e+02   1.27500000e+01    1.87905532e+00    6.23693688e+02
 1.29694155e+02   1.27500000e+01    1.87995828e+00    6.24626990e+02
 1.30053243e+02   1.27450000e+01    1.88085645e+00    6.25559643e+02
 1.30412330e+02   1.27450000e+01    1.88174995e+00    6.26491650e+02
 1.30771417e+02   1.27400000e+01    1.88263867e+00    6.27423014e+02
 1.31130504e+02   1.27400000e+01    1.88352275e+00    6.28353739e+02
 1.31489592e+02   1.27350000e+01    1.88440216e+00    6.29283828e+02
 1.31848679e+02   1.27350000e+01    1.88527693e+00    6.30213284e+02
 1.32207766e+02   1.27350000e+01    1.88614716e+00    6.31142111e+02
 1.32566853e+02   1.27300000e+01    1.88701280e+00    6.32070312e+02
 1.32925941e+02   1.27300000e+01    1.88787383e+00    6.32997889e+02
