Stellar Sequence
Central Pressure Range = 4.0 to 1000.0 MeVfm^3
Number of Stars = 1250
h = 5 meters
r0 = 10.0 meters
      P_MeV/fm3             R_km         M_M_solar     Energy Density
 1.30792634e+02   1.15600000e+01    1.61720796e+00    6.68390946e+02
 1.31590072e+02   1.15550000e+01    1.61975148e+00    6.70266142e+02
 1.32387510e+02   1.15500000e+01    1.62227155e+00    6.72137400e+02
 1.33184948e+02   1.15500000e+01    1.62476844e+00    6.74004714e+02
 1.33982386e+02   1.15450000e+01    1.62724245e+00    6.75868081e+02
 1.34779824e+02   1.15400000e+01    1.62969388e+00    6.77727500e+02
 1.35577262e+02   1.15400000e+01    1.63212299e+00    6.79583006e+02
 1.36374700e+02   1.15350000e+01    1.63453000e+00    6.81434661e+02
 1.37172138e+02   1.15300000e+01    1.63691523e+00    6.83282527e+02
 1.37969576e+02   1.15300000e+01    1.63927894e+00    6.85126665e+02
 1.38767014e+02   1.15250000e+01    1.64162139e+00    6.86967136e+02
 1.39564452e+02   1.15250000e+01    1.64394287e+00    6.88803992e+02
 1.40361890e+02   1.15200000e+01    1.64624359e+00    6.90637261e+02
 1.41159327e+02   1.15150000e+01    1.64852377e+00    6.92466967e+02
 1.41956765e+02   1.15150000e+01    1.65078368e+00    6.94293137e+02
 1.42754203e+02   1.15100000e+01    1.65302356e+00    6.96115794e+02
 1.43551641e+02   1.15050000e+01    1.65524369e+00    6.97934963e+02
 1.44349079e+02   1.15050000e+01    1.65744428e+00    6.99750673e+02
 1.45146517e+02   1.15000000e+01    1.65962550e+00    7.01562956e+02
 1.45943955e+02   1.14950000e+01    1.66178760e+00    7.03371842e+02
 1.46741393e+02   1.14950000e+01    1.66393083e+00    7.05177362e+02
 1.47538831e+02   1.14900000e+01    1.66605543e+00    7.06979549e+02
 1.48336269e+02   1.14900000e+01    1.66816159e+00    7.08778433e+02
 1.49133707e+02   1.14850000e+01    1.67024947e+00    7.10574038e+02
 1.49931145e+02   1.14800000e+01    1.67231931e+00    7.12366388e+02
 1.50728583e+02   1.14800000e+01    1.67437135e+00    7.14155504e+02
 1.51526021e+02   1.14750000e+01    1.67640581e+00    7.15941408e+02
 1.52323459e+02   1.14700000e+01    1.67842280e+00    7.17724123e+02
 1.53120897e+02   1.14700000e+01    1.68042255e+00    7.19503670e+02
 1.53918335e+02   1.14650000e+01    1.68240527e+00    7.21280087e+02
 1.54715773e+02   1.14650000e+01    1.68437120e+00    7.23053420e+02
 1.55513211e+02   1.14600000e+01    1.68632045e+00    7.24823711e+02
 1.56310649e+02   1.14550000e+01    1.68825319e+00    7.26591005e+02
 1.57108086e+02   1.14550000e+01    1.69016965e+00    7.28355347e+02
 1.57905524e+02   1.14500000e+01    1.69207006e+00    7.30116779e+02
 1.58702962e+02   1.14450000e+01    1.69395450e+00    7.31875315e+02
 1.59500400e+02   1.14450000e+01    1.69582314e+00    7.33630945e+02
 1.60297838e+02   1.14400000e+01    1.69767621e+00    7.35383658e+02
 1.61095276e+02   1.14400000e+01    1.69951392e+00    7.37133443e+02
 1.61892714e+02   1.14350000e+01    1.70133632e+00    7.38880289e+02
 1.62690152e+02   1.14300000e+01    1.70314362e+00    7.40624185e+02
 1.63487590e+02   1.14300000e+01    1.70493601e+00    7.42365144e+02
 1.64285028e+02   1.14250000e+01    1.70671369e+00    7.44103229e+02
 1.65082466e+02   1.14200000e+01    1.70847669e+00    7.45838508e+02
 1.65879904e+02   1.14200000e+01    1.71022524e+00    7.47571048e+02
 1.66677342e+02   1.14150000e+01    1.71195955e+00    7.49300917e+02
 1.67474780e+02   1.14150000e+01    1.71367969e+00    7.51028183e+02
 1.68272218e+02   1.14100000e+01    1.71538579e+00    7.52752909e+02
 1.69069656e+02   1.14050000e+01    1.71707805e+00    7.54475102e+02
 1.69867094e+02   1.14050000e+01    1.71875666e+00    7.56194738e+02
 1.70664532e+02   1.14000000e+01    1.72042163e+00    7.57911793e+02
 1.71461970e+02   1.13950000e+01    1.72207316e+00    7.59626244e+02
 1.72259408e+02   1.13950000e+01    1.72371147e+00    7.61338067e+02
 1.73056845e+02   1.13900000e+01    1.72533660e+00    7.63047237e+02
 1.73854283e+02   1.13900000e+01    1.72694868e+00    7.64753742e+02
 1.74651721e+02   1.13850000e+01    1.72854790e+00    7.66457619e+02
 1.75449159e+02   1.13800000e+01    1.73013442e+00    7.68158913e+02
 1.76246597e+02   1.13800000e+01    1.73170824e+00    7.69857672e+02
 1.77044035e+02   1.13750000e+01    1.73326959e+00    7.71553942e+02
 1.77841473e+02   1.13750000e+01    1.73481864e+00    7.73247769e+02
 1.78638911e+02   1.13700000e+01    1.73635537e+00    7.74939202e+02
 1.79436349e+02   1.13650000e+01    1.73787998e+00    7.76628279e+02
 1.80233787e+02   1.13650000e+01    1.73939266e+00    7.78315013e+02
 1.81031225e+02   1.13600000e+01    1.74089341e+00    7.79999416e+02
 1.81828663e+02   1.13550000e+01    1.74238238e+00    7.81681499e+02
 1.82626101e+02   1.13550000e+01    1.74385977e+00    7.83361270e+02
 1.83423539e+02   1.13500000e+01    1.74532561e+00    7.85038741e+02
 1.84220977e+02   1.13500000e+01    1.74677999e+00    7.86713922e+02
 1.85018415e+02   1.13450000e+01    1.74822311e+00    7.88386820e+02
 1.85815853e+02   1.13400000e+01    1.74965505e+00    7.90057435e+02
 1.86613291e+02   1.13400000e+01    1.75107585e+00    7.91725761e+02
 1.87410729e+02   1.13350000e+01    1.75248571e+00    7.93391796e+02
 1.88208167e+02   1.13350000e+01    1.75388474e+00    7.95055536e+02
 1.89005604e+02   1.13300000e+01    1.75527292e+00    7.96716975e+02
 1.89803042e+02   1.13250000e+01    1.75665049e+00    7.98376110e+02
 1.90600480e+02   1.13250000e+01    1.75801754e+00    8.00032942e+02
 1.91397918e+02   1.13200000e+01    1.75937405e+00    8.01687506e+02
 1.92195356e+02   1.13200000e+01    1.76072025e+00    8.03339863e+02
 1.92992794e+02   1.13150000e+01    1.76205624e+00    8.04990072e+02
 1.93790232e+02   1.13100000e+01    1.76338199e+00    8.06638193e+02
 1.94587670e+02   1.13100000e+01    1.76469771e+00    8.08284286e+02
 1.95385108e+02   1.13050000e+01    1.76600351e+00    8.09928409e+02
 1.96182546e+02   1.13050000e+01    1.76729936e+00    8.11570623e+02
 1.96979984e+02   1.13000000e+01    1.76858546e+00    8.13210957e+02
 1.97777422e+02   1.12950000e+01    1.76986191e+00    8.14849372e+02
 1.98574860e+02   1.12950000e+01    1.77112868e+00    8.16485821e+02
 1.99372298e+02   1.12900000e+01    1.77238598e+00    8.18120256e+02
 2.00169736e+02   1.12900000e+01    1.77363389e+00    8.19752629e+02
 2.00967174e+02   1.12850000e+01    1.77487239e+00    8.21382892e+02
 2.01764612e+02   1.12800000e+01    1.77610168e+00    8.23010998e+02
 2.02562050e+02   1.12800000e+01    1.77732183e+00    8.24636902e+02
 2.03359488e+02   1.12750000e+01    1.77853284e+00    8.26260613e+02
 2.04156926e+02   1.12750000e+01    1.77973491e+00    8.27882208e+02
 2.04954363e+02   1.12700000e+01    1.78092806e+00    8.29501763e+02
 2.05751801e+02   1.12700000e+01    1.78211232e+00    8.31119355e+02
 2.06549239e+02   1.12650000e+01    1.78328791e+00    8.32735061e+02
 2.07346677e+02   1.12600000e+01    1.78445479e+00    8.34348960e+02
 2.08144115e+02   1.12600000e+01    1.78561305e+00    8.35961127e+02
 2.08941553e+02   1.12550000e+01    1.78676287e+00    8.37571638e+02
 2.09738991e+02   1.12550000e+01    1.78790418e+00    8.39180507e+02
 2.10536429e+02   1.12500000e+01    1.78903711e+00    8.40787696e+02
 2.11333867e+02   1.12450000e+01    1.79016184e+00    8.42393161e+02
 2.12131305e+02   1.12450000e+01    1.79127826e+00    8.43996860e+02
 2.12928743e+02   1.12400000e+01    1.79238654e+00    8.45598752e+02
 2.13726181e+02   1.12400000e+01    1.79348683e+00    8.47198793e+02
 2.14523619e+02   1.12350000e+01    1.79457902e+00    8.48796943e+02
 2.15321057e+02   1.12350000e+01    1.79566330e+00    8.50393159e+02
 2.16118495e+02   1.12300000e+01    1.79673978e+00    8.51987431e+02
 2.16915933e+02   1.12250000e+01    1.79780838e+00    8.53579795e+02
 2.17713371e+02   1.12250000e+01    1.79886931e+00    8.55170289e+02
 2.18510809e+02   1.12200000e+01    1.79992259e+00    8.56758952e+02
 2.19308247e+02   1.12200000e+01    1.80096822e+00    8.58345823e+02
 2.20105685e+02   1.12150000e+01    1.80200640e+00    8.59930941e+02
 2.20903122e+02   1.12150000e+01    1.80303709e+00    8.61514345e+02
 2.21700560e+02   1.12100000e+01    1.80406035e+00    8.63096074e+02
 2.22497998e+02   1.12050000e+01    1.80507637e+00    8.64676163e+02
 2.23295436e+02   1.12050000e+01    1.80608504e+00    8.66254626e+02
 2.24092874e+02   1.12000000e+01    1.80708650e+00    8.67831472e+02
 2.24890312e+02   1.12000000e+01    1.80808091e+00    8.69406711e+02
 2.25687750e+02   1.11950000e+01    1.80906814e+00    8.70980353e+02
 2.26485188e+02   1.11950000e+01    1.81004837e+00    8.72552407e+02
 2.27282626e+02   1.11900000e+01    1.81102169e+00    8.74122881e+02
 2.28080064e+02   1.11850000e+01    1.81198802e+00    8.75691786e+02
 2.28877502e+02   1.11850000e+01    1.81294756e+00    8.77259130e+02
 2.29674940e+02   1.11800000e+01    1.81390030e+00    8.78824913e+02
 2.30472378e+02   1.11800000e+01    1.81484626e+00    8.80389117e+02
 2.31269816e+02   1.11750000e+01    1.81578563e+00    8.81951724e+02
 2.32067254e+02   1.11750000e+01    1.81671832e+00    8.83512714e+02
 2.32864692e+02   1.11700000e+01    1.81764441e+00    8.85072069e+02
 2.33662130e+02   1.11700000e+01    1.81856410e+00    8.86629771e+02
 2.34459568e+02   1.11650000e+01    1.81947723e+00    8.88185801e+02
 2.35257006e+02   1.11600000e+01    1.82038398e+00    8.89740139e+02
 2.36054444e+02   1.11600000e+01    1.82128444e+00    8.91292768e+02
 2.36851882e+02   1.11550000e+01    1.82217851e+00    8.92843706e+02
 2.37649319e+02   1.11550000e+01    1.82306640e+00    8.94393010e+02
 2.38446757e+02   1.11500000e+01    1.82394809e+00    8.95940740e+02
 2.39244195e+02   1.11500000e+01    1.82482358e+00    8.97486955e+02
 2.40041633e+02   1.11450000e+01    1.82569308e+00    8.99031716e+02
 2.40839071e+02   1.11450000e+01    1.82655645e+00    9.00575083e+02
 2.41636509e+02   1.11400000e+01    1.82741382e+00    9.02117115e+02
 2.42433947e+02   1.11400000e+01    1.82826534e+00    9.03657872e+02
 2.43231385e+02   1.11350000e+01    1.82911086e+00    9.05197414e+02
 2.44028823e+02   1.11300000e+01    1.82995056e+00    9.06735759e+02
 2.44826261e+02   1.11300000e+01    1.83078450e+00    9.08272858e+02
 2.45623699e+02   1.11250000e+01    1.83161260e+00    9.09808657e+02
 2.46421137e+02   1.11250000e+01    1.83243505e+00    9.11343099e+02
 2.47218575e+02   1.11200000e+01    1.83325181e+00    9.12876130e+02
 2.48016013e+02   1.11200000e+01    1.83406290e+00    9.14407696e+02
 2.48813451e+02   1.11150000e+01    1.83486851e+00    9.15937740e+02
 2.49610889e+02   1.11150000e+01    1.83566851e+00    9.17466208e+02
 2.50408327e+02   1.11100000e+01    1.83646300e+00    9.18993045e+02
 2.51205765e+02   1.11100000e+01    1.83725214e+00    9.20518211e+02
 2.52003203e+02   1.11050000e+01    1.83803578e+00    9.22041749e+02
 2.52800641e+02   1.11000000e+01    1.83881411e+00    9.23563724e+02
 2.53598078e+02   1.11000000e+01    1.83958714e+00    9.25084202e+02
 2.54395516e+02   1.10950000e+01    1.84035482e+00    9.26603249e+02
 2.55192954e+02   1.10950000e+01    1.84111736e+00    9.28120933e+02
 2.55990392e+02   1.10900000e+01    1.84187465e+00    9.29637318e+02
 2.56787830e+02   1.10900000e+01    1.84262675e+00    9.31152470e+02
 2.57585268e+02   1.10850000e+01    1.84337385e+00    9.32666457e+02
 2.58382706e+02   1.10850000e+01    1.84411578e+00    9.34179343e+02
 2.59180144e+02   1.10800000e+01    1.84485268e+00    9.35691160e+02
 2.59977582e+02   1.10800000e+01    1.84558466e+00    9.37201877e+02
 2.60775020e+02   1.10750000e+01    1.84631159e+00    9.38711456e+02
 2.61572458e+02   1.10750000e+01    1.84703366e+00    9.40219861e+02
 2.62369896e+02   1.10700000e+01    1.84775083e+00    9.41727055e+02
 2.63167334e+02   1.10700000e+01    1.84846309e+00    9.43233001e+02
 2.63964772e+02   1.10650000e+01    1.84917066e+00    9.44737661e+02
 2.64762210e+02   1.10650000e+01    1.84987336e+00    9.46241000e+02
 2.65559648e+02   1.10600000e+01    1.85057132e+00    9.47742979e+02
 2.66357086e+02   1.10600000e+01    1.85126467e+00    9.49243563e+02
 2.67154524e+02   1.10550000e+01    1.85195326e+00    9.50742739e+02
 2.67951962e+02   1.10500000e+01    1.85263725e+00    9.52240530e+02
 2.68749400e+02   1.10500000e+01    1.85331668e+00    9.53736961e+02
 2.69546837e+02   1.10450000e+01    1.85399148e+00    9.55232058e+02
 2.70344275e+02   1.10450000e+01    1.85466183e+00    9.56725846e+02
 2.71141713e+02   1.10400000e+01    1.85532764e+00    9.58218350e+02
 2.71939151e+02   1.10400000e+01    1.85598896e+00    9.59709596e+02
 2.72736589e+02   1.10350000e+01    1.85664597e+00    9.61199608e+02
 2.73534027e+02   1.10350000e+01    1.85729848e+00    9.62688412e+02
 2.74331465e+02   1.10300000e+01    1.85794663e+00    9.64176034e+02
 2.75128903e+02   1.10300000e+01    1.85859055e+00    9.65662494e+02
 2.75926341e+02   1.10250000e+01    1.85923007e+00    9.67147805e+02
 2.76723779e+02   1.10250000e+01    1.85986538e+00    9.68631979e+02
 2.77521217e+02   1.10200000e+01    1.86049646e+00    9.70115028e+02
 2.78318655e+02   1.10200000e+01    1.86112328e+00    9.71596962e+02
 2.79116093e+02   1.10150000e+01    1.86174603e+00    9.73077793e+02
