Stellar Sequence
Central Pressure Range = 4.0 to 1500.0 MeVfm^3
Number of Stars = 1250
h = 5 meters
r0 = 10.0 meters
      P_MeV/fm3             R_km         M_M_solar     Energy Density
 3.28592474e+02   1.12150000e+01    1.98539684e+00    9.75183305e+02
 3.29790232e+02   1.12150000e+01    1.98618868e+00    9.76868583e+02
 3.30987990e+02   1.12100000e+01    1.98697417e+00    9.78551440e+02
 3.32185749e+02   1.12050000e+01    1.98775344e+00    9.80231888e+02
 3.33383507e+02   1.12000000e+01    1.98852648e+00    9.81909938e+02
 3.34581265e+02   1.12000000e+01    1.98929339e+00    9.83585603e+02
 3.35779023e+02   1.11950000e+01    1.99005421e+00    9.85258894e+02
 3.36976781e+02   1.11900000e+01    1.99080900e+00    9.86929824e+02
 3.38174540e+02   1.11850000e+01    1.99155781e+00    9.88598403e+02
 3.39372298e+02   1.11850000e+01    1.99230073e+00    9.90264645e+02
 3.40570056e+02   1.11800000e+01    1.99303774e+00    9.91928561e+02
 3.41767814e+02   1.11800000e+01    1.99376897e+00    9.93590162e+02
 3.42965572e+02   1.11750000e+01    1.99449441e+00    9.95249461e+02
 3.44163331e+02   1.11700000e+01    1.99521413e+00    9.96906470e+02
 3.45361089e+02   1.11650000e+01    1.99592822e+00    9.98561200e+02
 3.46558847e+02   1.11650000e+01    1.99663667e+00    1.00021366e+03
 3.47756605e+02   1.11600000e+01    1.99733959e+00    1.00186387e+03
 3.48954363e+02   1.11550000e+01    1.99803697e+00    1.00351184e+03
 3.50152122e+02   1.11550000e+01    1.99872888e+00    1.00515757e+03
 3.51349880e+02   1.11500000e+01    1.99941540e+00    1.00680109e+03
 3.52547638e+02   1.11450000e+01    2.00009653e+00    1.00844240e+03
 3.53745396e+02   1.11450000e+01    2.00077236e+00    1.01008151e+03
 3.54943155e+02   1.11400000e+01    2.00144290e+00    1.01171844e+03
 3.56140913e+02   1.11350000e+01    2.00210820e+00    1.01335320e+03
 3.57338671e+02   1.11350000e+01    2.00276835e+00    1.01498580e+03
 3.58536429e+02   1.11300000e+01    2.00342333e+00    1.01661625e+03
 3.59734187e+02   1.11300000e+01    2.00407325e+00    1.01824456e+03
 3.60931946e+02   1.11250000e+01    2.00471809e+00    1.01987075e+03
 3.62129704e+02   1.11200000e+01    2.00535791e+00    1.02149483e+03
 3.63327462e+02   1.11150000e+01    2.00599281e+00    1.02311681e+03
 3.64525220e+02   1.11150000e+01    2.00662275e+00    1.02473669e+03
 3.65722978e+02   1.11100000e+01    2.00724785e+00    1.02635451e+03
 3.66920737e+02   1.11050000e+01    2.00786809e+00    1.02797026e+03
 3.68118495e+02   1.11050000e+01    2.00848352e+00    1.02958395e+03
 3.69316253e+02   1.11000000e+01    2.00909423e+00    1.03119560e+03
 3.70514011e+02   1.10950000e+01    2.00970019e+00    1.03280523e+03
 3.71711769e+02   1.10950000e+01    2.01030150e+00    1.03441284e+03
 3.72909528e+02   1.10900000e+01    2.01089817e+00    1.03601844e+03
 3.74107286e+02   1.10900000e+01    2.01149024e+00    1.03762205e+03
 3.75305044e+02   1.10850000e+01    2.01207775e+00    1.03922368e+03
 3.76502802e+02   1.10800000e+01    2.01266072e+00    1.04082333e+03
 3.77700560e+02   1.10800000e+01    2.01323924e+00    1.04242104e+03
 3.78898319e+02   1.10750000e+01    2.01381330e+00    1.04401679e+03
 3.80096077e+02   1.10700000e+01    2.01438296e+00    1.04561061e+03
 3.81293835e+02   1.10700000e+01    2.01494824e+00    1.04720251e+03
 3.82491593e+02   1.10650000e+01    2.01550919e+00    1.04879250e+03
 3.83689351e+02   1.10600000e+01    2.01606584e+00    1.05038059e+03
 3.84887110e+02   1.10600000e+01    2.01661821e+00    1.05196679e+03
 3.86084868e+02   1.10550000e+01    2.01716638e+00    1.05355112e+03
 3.87282626e+02   1.10500000e+01    2.01771033e+00    1.05513358e+03
 3.88480384e+02   1.10500000e+01    2.01825014e+00    1.05671420e+03
 3.89678143e+02   1.10450000e+01    2.01878582e+00    1.05829297e+03
 3.90875901e+02   1.10450000e+01    2.01931740e+00    1.05986992e+03
 3.92073659e+02   1.10400000e+01    2.01984491e+00    1.06144506e+03
 3.93271417e+02   1.10350000e+01    2.02036839e+00    1.06301839e+03
 3.94469175e+02   1.10350000e+01    2.02088791e+00    1.06458993e+03
 3.95666934e+02   1.10300000e+01    2.02140344e+00    1.06615969e+03
 3.96864692e+02   1.10300000e+01    2.02191505e+00    1.06772768e+03
 3.98062450e+02   1.10250000e+01    2.02242275e+00    1.06929391e+03
 3.99260208e+02   1.10200000e+01    2.02292660e+00    1.07085841e+03
 4.00457966e+02   1.10200000e+01    2.02342660e+00    1.07242117e+03
 4.01655725e+02   1.10150000e+01    2.02392282e+00    1.07398221e+03
 4.02853483e+02   1.10150000e+01    2.02441523e+00    1.07554154e+03
 4.04051241e+02   1.10100000e+01    2.02490390e+00    1.07709917e+03
 4.05248999e+02   1.10050000e+01    2.02538887e+00    1.07865512e+03
 4.06446757e+02   1.10050000e+01    2.02587013e+00    1.08020940e+03
 4.07644516e+02   1.10000000e+01    2.02634776e+00    1.08176202e+03
 4.08842274e+02   1.09950000e+01    2.02682174e+00    1.08331299e+03
 4.10040032e+02   1.09950000e+01    2.02729213e+00    1.08486232e+03
 4.11237790e+02   1.09900000e+01    2.02775894e+00    1.08641002e+03
 4.12435548e+02   1.09900000e+01    2.02822222e+00    1.08795612e+03
 4.13633307e+02   1.09850000e+01    2.02868196e+00    1.08950060e+03
