           R_km         P_MeV/fm3         M_M_solar   Energy Density (ε)
 1.10500000e+00    9.83334474e+01    2.57560308e-03    9.03323665e+17
 1.11000000e+00    9.83184191e+01    2.61061184e-03    9.03258865e+17
 1.11500000e+00    9.83033245e+01    2.64593489e-03    9.03193797e+17
 1.12000000e+00    9.82881637e+01    2.68157359e-03    9.03128452e+17
 1.12500000e+00    9.82729367e+01    2.71752931e-03    9.03062821e+17
 1.13000000e+00    9.82576435e+01    2.75380342e-03    9.02996909e+17
 1.13500000e+00    9.82422841e+01    2.79039728e-03    9.02930728e+17
 1.14000000e+00    9.82268586e+01    2.82731227e-03    9.02864287e+17
 1.14500000e+00    9.82113670e+01    2.86454976e-03    9.02797584e+17
 1.15000000e+00    9.81958093e+01    2.90211111e-03    9.02730602e+17
 1.15500000e+00    9.81801855e+01    2.93999768e-03    9.02663324e+17
 1.16000000e+00    9.81644956e+01    2.97821085e-03    9.02595738e+17
 1.16500000e+00    9.81487398e+01    3.01675197e-03    9.02527850e+17
 1.17000000e+00    9.81329179e+01    3.05562241e-03    9.02459670e+17
 1.17500000e+00    9.81170300e+01    3.09482353e-03    9.02391205e+17
 1.18000000e+00    9.81010762e+01    3.13435670e-03    9.02322471e+17
 1.18500000e+00    9.80850564e+01    3.17422328e-03    9.02253482e+17
 1.19000000e+00    9.80689707e+01    3.21442462e-03    9.02184254e+17
 1.19500000e+00    9.80528191e+01    3.25496210e-03    9.02114771e+17
 1.20000000e+00    9.80366017e+01    3.29583708e-03    9.02045002e+17
 1.20500000e+00    9.80203184e+01    3.33705090e-03    9.01974917e+17
 1.21000000e+00    9.80039692e+01    3.37860494e-03    9.01904513e+17
 1.21500000e+00    9.79875543e+01    3.42050055e-03    9.01833821e+17
 1.22000000e+00    9.79710736e+01    3.46273908e-03    9.01762872e+17
 1.22500000e+00    9.79545271e+01    3.50532189e-03    9.01691680e+17
 1.23000000e+00    9.79379149e+01    3.54825035e-03    9.01620232e+17
 1.23500000e+00    9.79212369e+01    3.59152580e-03    9.01548513e+17
 1.24000000e+00    9.79044933e+01    3.63514961e-03    9.01476510e+17
 1.24500000e+00    9.78876840e+01    3.67912313e-03    9.01404216e+17
 1.25000000e+00    9.78708091e+01    3.72344770e-03    9.01331625e+17
 1.25500000e+00    9.78538686e+01    3.76812469e-03    9.01258736e+17
 1.26000000e+00    9.78368624e+01    3.81315545e-03    9.01185560e+17
 1.26500000e+00    9.78197907e+01    3.85854132e-03    9.01112114e+17
 1.27000000e+00    9.78026535e+01    3.90428366e-03    9.01038408e+17
 1.27500000e+00    9.77854507e+01    3.95038382e-03    9.00964454e+17
 1.28000000e+00    9.77681825e+01    3.99684315e-03    9.00890260e+17
 1.28500000e+00    9.77508487e+01    4.04366301e-03    9.00815824e+17
 1.29000000e+00    9.77334495e+01    4.09084473e-03    9.00741121e+17
 1.29500000e+00    9.77159849e+01    4.13838968e-03    9.00666123e+17
 1.30000000e+00    9.76984549e+01    4.18629919e-03    9.00590811e+17
 1.30500000e+00    9.76808595e+01    4.23457462e-03    9.00515201e+17
 1.31000000e+00    9.76631988e+01    4.28321729e-03    9.00439313e+17
 1.31500000e+00    9.76454727e+01    4.33222857e-03    9.00363158e+17
 1.32000000e+00    9.76276813e+01    4.38160980e-03    9.00286734e+17
 1.32500000e+00    9.76098247e+01    4.43136232e-03    9.00210037e+17
 1.33000000e+00    9.75919028e+01    4.48148746e-03    9.00133068e+17
 1.33500000e+00    9.75739157e+01    4.53198659e-03    9.00055834e+17
 1.34000000e+00    9.75558634e+01    4.58286103e-03    8.99978343e+17
 1.34500000e+00    9.75377459e+01    4.63411213e-03    8.99900598e+17
 1.35000000e+00    9.75195632e+01    4.68574123e-03    8.99822595e+17
 1.35500000e+00    9.75013155e+01    4.73774968e-03    8.99744331e+17
 1.36000000e+00    9.74830026e+01    4.79013880e-03    8.99665792e+17
 1.36500000e+00    9.74646246e+01    4.84290995e-03    8.99586963e+17
 1.37000000e+00    9.74461817e+01    4.89606444e-03    8.99507830e+17
 1.37500000e+00    9.74276736e+01    4.94960363e-03    8.99428408e+17
 1.38000000e+00    9.74091006e+01    5.00352884e-03    8.99348723e+17
 1.38500000e+00    9.73904626e+01    5.05784142e-03    8.99268796e+17
 1.39000000e+00    9.73717597e+01    5.11254269e-03    8.99188617e+17
 1.39500000e+00    9.73529919e+01    5.16763399e-03    8.99108173e+17
 1.40000000e+00    9.73341591e+01    5.22311667e-03    8.99027456e+17
 1.40500000e+00    9.73152615e+01    5.27899203e-03    8.98946470e+17
 1.41000000e+00    9.72962991e+01    5.33526143e-03    8.98865218e+17
 1.41500000e+00    9.72772718e+01    5.39192620e-03    8.98783703e+17
 1.42000000e+00    9.72581798e+01    5.44898765e-03    8.98701919e+17
 1.42500000e+00    9.72390230e+01    5.50644712e-03    8.98619863e+17
 1.43000000e+00    9.72198014e+01    5.56430595e-03    8.98537533e+17
 1.43500000e+00    9.72005152e+01    5.62256545e-03    8.98454929e+17
 1.44000000e+00    9.71811643e+01    5.68122696e-03    8.98372055e+17
 1.44500000e+00    9.71617487e+01    5.74029180e-03    8.98288932e+17
 1.45000000e+00    9.71422685e+01    5.79976130e-03    8.98205581e+17
 1.45500000e+00    9.71227237e+01    5.85963679e-03    8.98121990e+17
 1.46000000e+00    9.71031143e+01    5.91991959e-03    8.98038118e+17
 1.46500000e+00    9.70834403e+01    5.98061102e-03    8.97953928e+17
 1.47000000e+00    9.70637019e+01    6.04171241e-03    8.97869453e+17
 1.47500000e+00    9.70438990e+01    6.10322507e-03    8.97784748e+17
 1.48000000e+00    9.70240316e+01    6.16515034e-03    8.97699835e+17
 1.48500000e+00    9.70040997e+01    6.22748953e-03    8.97614661e+17
 1.49000000e+00    9.69841035e+01    6.29024397e-03    8.97529166e+17
 1.49500000e+00    9.69640429e+01    6.35341496e-03    8.97443361e+17
 1.50000000e+00    9.69439179e+01    6.41700383e-03    8.97357305e+17
 1.50500000e+00    9.69237286e+01    6.48101190e-03    8.97271038e+17
 1.51000000e+00    9.69034750e+01    6.54544048e-03    8.97184542e+17
 1.51500000e+00    9.68831571e+01    6.61029089e-03    8.97097784e+17
 1.52000000e+00    9.68627750e+01    6.67556446e-03    8.97010753e+17
 1.52500000e+00    9.68423287e+01    6.74126248e-03    8.96923455e+17
 1.53000000e+00    9.68218182e+01    6.80738629e-03    8.96835898e+17
 1.53500000e+00    9.68012435e+01    6.87393718e-03    8.96748085e+17
 1.54000000e+00    9.67806047e+01    6.94091647e-03    8.96660015e+17
 1.54500000e+00    9.67599018e+01    7.00832549e-03    8.96571685e+17
 1.55000000e+00    9.67391349e+01    7.07616552e-03    8.96483086e+17
 1.55500000e+00    9.67183039e+01    7.14443789e-03    8.96394216e+17
 1.56000000e+00    9.66974088e+01    7.21314390e-03    8.96305102e+17
 1.56500000e+00    9.66764498e+01    7.28228487e-03    8.96215778e+17
 1.57000000e+00    9.66554269e+01    7.35186211e-03    8.96126234e+17
 1.57500000e+00    9.66343400e+01    7.42187692e-03    8.96036408e+17
 1.58000000e+00    9.66131892e+01    7.49233061e-03    8.95946262e+17
 1.58500000e+00    9.65919745e+01    7.56322447e-03    8.95855846e+17
 1.59000000e+00    9.65706960e+01    7.63455982e-03    8.95765233e+17
 1.59500000e+00    9.65493537e+01    7.70633797e-03    8.95674417e+17
 1.60000000e+00    9.65279476e+01    7.77856021e-03    8.95583325e+17
 1.60500000e+00    9.65064778e+01    7.85122786e-03    8.95491912e+17
 1.61000000e+00    9.64849442e+01    7.92434220e-03    8.95400227e+17
 1.61500000e+00    9.64633470e+01    7.99790453e-03    8.95308331e+17
 1.62000000e+00    9.64416860e+01    8.07191617e-03    8.95216226e+17
 1.62500000e+00    9.64199615e+01    8.14637842e-03    8.95123882e+17
 1.63000000e+00    9.63981733e+01    8.22129256e-03    8.95031278e+17
 1.63500000e+00    9.63763216e+01    8.29665990e-03    8.94938415e+17
 1.64000000e+00    9.63544063e+01    8.37248175e-03    8.94845297e+17
 1.64500000e+00    9.63324275e+01    8.44875938e-03    8.94751928e+17
 1.65000000e+00    9.63103852e+01    8.52549410e-03    8.94658310e+17
 1.65500000e+00    9.62882794e+01    8.60268720e-03    8.94564448e+17
 1.66000000e+00    9.62661102e+01    8.68033998e-03    8.94470344e+17
 1.66500000e+00    9.62438777e+01    8.75845373e-03    8.94375994e+17
 1.67000000e+00    9.62215817e+01    8.83702974e-03    8.94281392e+17
 1.67500000e+00    9.61992225e+01    8.91606931e-03    8.94186531e+17
 1.68000000e+00    9.61767999e+01    8.99557372e-03    8.94091440e+17
 1.68500000e+00    9.61543140e+01    9.07554427e-03    8.93996160e+17
 1.69000000e+00    9.61317649e+01    9.15598225e-03    8.93900671e+17
 1.69500000e+00    9.61091526e+01    9.23688895e-03    8.93804907e+17
 1.70000000e+00    9.60864771e+01    9.31826565e-03    8.93708838e+17
 1.70500000e+00    9.60637385e+01    9.40011364e-03    8.93612523e+17
 1.71000000e+00    9.60409367e+01    9.48243420e-03    8.93516017e+17
 1.71500000e+00    9.60180718e+01    9.56522863e-03    8.93419315e+17
 1.72000000e+00    9.59951439e+01    9.64849822e-03    8.93322394e+17
 1.72500000e+00    9.59721529e+01    9.73224424e-03    8.93225218e+17
 1.73000000e+00    9.59490990e+01    9.81646797e-03    8.93127745e+17
 1.73500000e+00    9.59259821e+01    9.90117070e-03    8.93029986e+17
 1.74000000e+00    9.59028022e+01    9.98635371e-03    8.92932018e+17
 1.74500000e+00    9.58795594e+01    1.00720183e-02    8.92833892e+17
 1.75000000e+00    9.58562538e+01    1.01581657e-02    8.92735563e+17
 1.75500000e+00    9.58328853e+01    1.02447972e-02    8.92636981e+17
 1.76000000e+00    9.58094540e+01    1.03319142e-02    8.92538147e+17
 1.76500000e+00    9.57859599e+01    1.04195178e-02    8.92439080e+17
 1.77000000e+00    9.57624031e+01    1.05076094e-02    8.92339806e+17
 1.77500000e+00    9.57387836e+01    1.05961902e-02    8.92240354e+17
 1.78000000e+00    9.57151013e+01    1.06852615e-02    8.92140713e+17
 1.78500000e+00    9.56913564e+01    1.07748246e-02    8.92040826e+17
 1.79000000e+00    9.56675489e+01    1.08648808e-02    8.91940661e+17
 1.79500000e+00    9.56436788e+01    1.09554313e-02    8.91840252e+17
 1.80000000e+00    9.56197461e+01    1.10464774e-02    8.91739640e+17
 1.80500000e+00    9.55957509e+01    1.11380204e-02    8.91638842e+17
 1.81000000e+00    9.55716932e+01    1.12300616e-02    8.91537868e+17
 1.81500000e+00    9.55475730e+01    1.13226022e-02    8.91436710e+17
 1.82000000e+00    9.55233904e+01    1.14156435e-02    8.91335351e+17
 1.82500000e+00    9.54991454e+01    1.15091868e-02    8.91233772e+17
 1.83000000e+00    9.54748380e+01    1.16032333e-02    8.91131952e+17
 1.83500000e+00    9.54504683e+01    1.16977843e-02    8.91029903e+17
 1.84000000e+00    9.54260363e+01    1.17928411e-02    8.90927673e+17
 1.84500000e+00    9.54015419e+01    1.18884049e-02    8.90825288e+17
 1.85000000e+00    9.53769854e+01    1.19844771e-02    8.90722747e+17
 1.85500000e+00    9.53523666e+01    1.20810588e-02    8.90620036e+17
 1.86000000e+00    9.53276856e+01    1.21781514e-02    8.90517135e+17
 1.86500000e+00    9.53029425e+01    1.22757561e-02    8.90414037e+17
 1.87000000e+00    9.52781373e+01    1.23738742e-02    8.90310806e+17
 1.87500000e+00    9.52532700e+01    1.24725069e-02    8.90207505e+17
 1.88000000e+00    9.52283406e+01    1.25716556e-02    8.90104088e+17
